NETWORKCODE,INTERNUMBERHEAD,COUNTRYCODE
809793,1809793,1
8097940,18097940,1
80979410,180979410,1
80979417,180979417,1
80979420,180979420,1
80979422,180979422,1
80979425,180979425,1
80979426,180979426,1
80979427,180979427,1
80979428,180979428,1
80979429,180979429,1
8097943,18097943,1
80979440,180979440,1
80979444,180979444,1
80979445,180979445,1
80979449,180979449,1
8097945,18097945,1
8097946,18097946,1
8097947,18097947,1
80979480,180979480,1
80979481,180979481,1
80979482,180979482,1
80979483,180979483,1
80979484,180979484,1
80979485,180979485,1
80979486,180979486,1
80979488,180979488,1
8097949,18097949,1
8097951,18097951,1
80979520,180979520,1
80979521,180979521,1
80979522,180979522,1
80979523,180979523,1
80979524,180979524,1
8097953,18097953,1
8097954,18097954,1
80979550,180979550,1
80979551,180979551,1
80979555,180979555,1
80979575,180979575,1
80979576,180979576,1
80979577,180979577,1
80979578,180979578,1
80979579,180979579,1
8097958,18097958,1
8097959,18097959,1
809796,1809796,1
809797,1809797,1
809798,1809798,1
809799,1809799,1
809801,1809801,1
809802,1809802,1
809803,1809803,1
809804,1809804,1
809805,1809805,1
809808,1809808,1
809809,1809809,1
8098100,18098100,1
8098101,18098101,1
8098105,18098105,1
8098106,18098106,1
809812,1809812,1
809813,1809813,1
809814,1809814,1
809815,1809815,1
809816,1809816,1
809817,1809817,1
809818,1809818,1
809819,1809819,1
809820,1809820,1
809821,1809821,1
809822,1809822,1
809823,1809823,1
809824,1809824,1
809826,1809826,1
80982600,180982600,1
80982601,180982601,1
80982606,180982606,1
80982607,180982607,1
80982608,180982608,1
8098261,18098261,1
8098262,18098262,1
8098263,18098263,1
8098264,18098264,1
8098265,18098265,1
8098266,18098266,1
8098267,18098267,1
8098268,18098268,1
8098269,18098269,1
809827,1809827,1
809828,1809828,1
809829,1809829,1
809830,1809830,1
809831,1809831,1
809832,1809832,1
809833,1809833,1
809834,1809834,1
809835,1809835,1
809836,1809836,1
809837,1809837,1
809838,1809838,1
809839,1809839,1
80984,180984,1
809845,1809845,1
809846,1809846,1
809847,1809847,1
809848,1809848,1
809849,1809849,1
809850,1809850,1
809851,1809851,1
809852,1809852,1
809853,1809853,1
809854,1809854,1
809855,1809855,1
809856,1809856,1
809857,1809857,1
809858,1809858,1
8098597,18098597,1
8098598,18098598,1
80985990,180985990,1
80985991,180985991,1
80985992,180985992,1
80985993,180985993,1
80985994,180985994,1
80985995,180985995,1
80985996,180985996,1
80985997,180985997,1
80985999,180985999,1
80986,180986,1
809871,1809871,1
8098723,18098723,1
809873,1809873,1
809874,1809874,1
809875,1809875,1
809876,1809876,1
809877,1809877,1
809878,1809878,1
809879,1809879,1
809880,1809880,1
809881,1809881,1
809882,1809882,1
809883,1809883,1
809884,1809884,1
809885,1809885,1
809886,1809886,1
809888,1809888,1
809889,1809889,1
809890,1809890,1
809891,1809891,1
809892,1809892,1
809895,1809895,1
809896,1809896,1
809897,1809897,1
809898,1809898,1
809899,1809899,1
809901,1809901,1
809902,1809902,1
809903,1809903,1
809904,1809904,1
809905,1809905,1
809906,1809906,1
809907,1809907,1
809909,1809909,1
809910,1809910,1
809912,1809912,1
809913,1809913,1
809914,1809914,1
809915,1809915,1
809916,1809916,1
809917,1809917,1
809918,1809918,1
809919,1809919,1
809923,1809923,1
809924,1809924,1
809927,1809927,1
809928,1809928,1
809929,1809929,1
809931,1809931,1
809932,1809932,1
809933,1809933,1
809935,1809935,1
809936,1809936,1
809938,1809938,1
809939,1809939,1
809940,1809940,1
809941,1809941,1
809942,1809942,1
809943,1809943,1
809944,1809944,1
809945,1809945,1
809946,1809946,1
809949,1809949,1
809951,1809951,1
8099510,18099510,1
80995110,180995110,1
80995111,180995111,1
80995112,180995112,1
80995113,180995113,1
80995114,180995114,1
80995118,180995118,1
80995150,180995150,1
80995151,180995151,1
80995152,180995152,1
80995153,180995153,1
80995154,180995154,1
8099516,18099516,1
8099517,18099517,1
8099518,18099518,1
8099519,18099519,1
809952,1809952,1
809953,1809953,1
809954,1809954,1
809956,1809956,1
809958,1809958,1
809959,1809959,1
809961,1809961,1
809962,1809962,1
809963,1809963,1
809964,1809964,1
809965,1809965,1
809966,1809966,1
809967,1809967,1
809968,1809968,1
809969,1809969,1
809970,1809970,1
8099705,18099705,1
8099706,18099706,1
80997063,180997063,1
80997064,180997064,1
80997065,180997065,1
80997066,180997066,1
80997067,180997067,1
80997068,180997068,1
80997069,180997069,1
809972,1809972,1
809973,1809973,1
809974,1809974,1
809975,1809975,1
809977,1809977,1
809978,1809978,1
809979,1809979,1
809980,1809980,1
809981,1809981,1
809982,1809982,1
809983,1809983,1
809984,1809984,1
809986,1809986,1
809988,1809988,1
809989,1809989,1
80999,180999,1
809990,1809990,1
809991,1809991,1
809992,1809992,1
809993,1809993,1
809994,1809994,1
809995,1809995,1
809996,1809996,1
809997,1809997,1
809998,1809998,1
809999,1809999,1
810,1810,1
812,1812,1
813,1813,1
814,1814,1
815,1815,1
816,1816,1
817,1817,1
818,1818,1
819,1819,1
825,1825,1
828,1828,1
829,1829,1
829201,1829201,1
829202,1829202,1
829203,1829203,1
829204,1829204,1
829205,1829205,1
829206,1829206,1
829207,1829207,1
829208,1829208,1
829209,1829209,1
829210,1829210,1
829212,1829212,1
829213,1829213,1
829214,1829214,1
829215,1829215,1
829216,1829216,1
829217,1829217,1
829218,1829218,1
829219,1829219,1
829220,1829220,1
829221,1829221,1
829222,1829222,1
829223,1829223,1
829228,1829228,1
829230,1829230,1
829231,1829231,1
829232,1829232,1
829233,1829233,1
829236,1829236,1
829237,1829237,1
829238,1829238,1
829240,1829240,1
8292417,18292417,1
829242,1829242,1
829243,1829243,1
829244,1829244,1
829245,1829245,1
829246,1829246,1
829247,1829247,1
829248,1829248,1
829249,1829249,1
829250,1829250,1
829251,1829251,1
829252,1829252,1
829253,1829253,1
829254,1829254,1
829255,1829255,1
829256,1829256,1
829257,1829257,1
829258,1829258,1
829259,1829259,1
82926,182926,1
829260,1829260,1
829261,1829261,1
829262,1829262,1
829263,1829263,1
829264,1829264,1
829265,1829265,1
829266,1829266,1
829267,1829267,1
829268,1829268,1
829269,1829269,1
82927,182927,1
829270,1829270,1
829271,1829271,1
829272,1829272,1
829273,1829273,1
829274,1829274,1
829275,1829275,1
829276,1829276,1
829277,1829277,1
829278,1829278,1
829279,1829279,1
82928,182928,1
829280,1829280,1
829281,1829281,1
829282,1829282,1
829283,1829283,1
829284,1829284,1
829285,1829285,1
829286,1829286,1
829287,1829287,1
829288,1829288,1
